zip_code,fips_code,yyyymm,underwater
30012,13247,200909,.19913952
30012,13247,200910,.22470805
30012,13247,200911,.24929318
30012,13247,200912,.27486172
30012,13247,201001,.28494161
30012,13247,201002,.31173402
30012,13247,201003,.32297245
30012,13247,201004,.31657308
30012,13247,201005,.3100431
30012,13247,201006,.30372307
30012,13247,201007,.29888961
30012,13247,201008,.29392555
30012,13247,201009,.28922272
30012,13247,201010,.30163291
30012,13247,201011,.3136512
30012,13247,201012,.3260614
30012,13247,201101,.32475507
30012,13247,201102,.32344872
30012,13247,201103,.32214239
30012,13247,201104,.32031351
30012,13247,201105,.31861529
30012,13247,201106,.31678641
30012,13247,201107,.29448453
30012,13247,201108,.29240552
30012,13247,201109,.29044881
30012,13247,201110,.31026047
30012,13247,201111,.32489145
30012,13247,201112,.336
30012,13247,201201,.31741738
30012,13247,201202,.30024698
30012,13247,201203,.2817829
30012,13247,201204,.29346037
30012,13247,201205,.30557516
30012,13247,201206,.31721947
30012,13247,201207,.31580806
30012,13247,201208,.31439662
30012,13247,201209,.31298518
30012,13247,201210,.31157374
30012,13247,201211,.31016231
30012,13247,201212,.30875087
30012,13247,201301,.3084431
30012,13247,201302,.30817166
30012,13247,201303,.28359503
30012,13247,201304,.26528183
30012,13247,201305,.24600604
30012,13247,201306,.22797927
30012,13247,201307,.22024387
30012,13247,201308,.21255934
30012,13247,201309,.20511436
30012,13247,201310,.21072507
30012,13247,201311,.21611999
30012,13247,201312,.22216216
30012,13247,201401,.21809143
30012,13247,201402,.21441695
30012,13247,201403,.2103955
30012,13247,201404,.20121029
30012,13247,201405,.19610663
30012,13247,201406,.18670501
30012,13247,201407,.17785643
30012,13247,201408,.16898917
30012,13247,201409,.16047335
30012,13247,201410,.16036275
30012,13247,201411,.16015927
30012,13247,201412,.16342896
30012,13247,201501,.14621197
30012,13247,201502,.14476773
30012,13247,201503,.1432656
30012,13247,201504,.13679919
30012,13247,201505,.13035059
30012,13247,201506,.12422234
30012,13247,201507,.12177461
30012,13247,201508,.11942887
30012,13247,201509,.11707118
30012,13247,201510,.11645931
30012,13247,201511,.11548236
30012,13247,201512,.11489578
30012,13247,201601,.11286223
30012,13247,201602,.11103203
30012,13247,201603,.10899848
30012,13247,201604,.10503305
30012,13247,201605,.10107789
30012,13247,201606,.09711206
30012,13247,201607,.089078709
30012,13247,201608,.081045352
30012,13247,201609,.07320793
30012,13247,201610,.072285481
30012,13247,201611,.071370557
30012,13247,201612,.070456855
30012,13247,201701,.06859462
30012,13247,201702,.066991471
30012,13247,201703,.06513799
30012,13247,201704,.058722109
30012,13247,201705,.051996756
30012,13247,201706,.045601945
30012,13247,201707,.044081882
30012,13247,201708,.042557504
30012,13247,201709,.041033436
30012,13247,201710,.038601823
30012,13247,201711,.036378417
30012,13247,201712,.033939641
30012,13247,201801,.032395653
30012,13247,201802,.031072298
30012,13247,201803,.029549148
30012,13247,201804,.027817259
30012,13247,201805,.025989847
30012,13247,201806,.024263959
30012,13247,201807,.02324637
30012,13247,201808,.022127487
30012,13247,201809,.021112464
30012,13247,201810,.02110818
30012,13247,201811,.021201055
30012,13247,201812,.02138545
30012,13247,201901,.020155516
30012,13247,201902,.018906489
30012,13247,201903,.017680123
30012,13247,201904,.017082652
30012,13247,201905,.016462168
30012,13247,201906,.015858401
30013,13247,200909,.25348899
30013,13247,200910,.28811058
30013,13247,200911,.32179281
