state_name,county_name,zip_code,share_of_homes_in_negative_equity
Iowa,Fayette,50671,0.10679611563682556
New York,Rockland,10927,0.1066364124417305
New Jersey,Burlington,08046,0.10656879842281342
New York,Suffolk,11798,0.10655111074447632
Illinois,DeKalb,60112,0.10642317682504654
California,Fresno,93616,0.10638298094272614
New Jersey,Passaic,07504,0.10565240681171417
Maryland,Wicomico,21830,0.10559440404176712
Illinois,Cook,60803,0.104947529733181
Illinois,Cook,60827,0.10483624041080475
Florida,Miami-Dade,33127,0.10480614006519318
Florida,Miami-Dade,33177,0.1045260801911354
Maryland,Baltimore,21133,0.10451977699995041
Nevada,Clark,89030,0.104275181889534
Maryland,Prince Georges,20710,0.10388513654470444
New Jersey,Essex,07050,0.10311809182167053
Connecticut,Windham,06239,0.10277613997459412
Maryland,Caroline,21629,0.10270603001117706
New Jersey,Gloucester,08066,0.10266847908496857
California,Solano,94589,0.10254020243883133
New Jersey,Burlington,08075,0.10253096371889114
New Jersey,Essex,07102,0.1025179848074913
Maryland,Baltimore City,21214,0.10251748561859131
California,Calaveras,95224,0.10240963846445084
New Jersey,Union,07060,0.10220886021852493
Connecticut,New London,06351,0.10219478607177734
Illinois,Cook,60617,0.10218899697065353
Illinois,Cook,60534,0.1021522656083107
New Jersey,Middlesex,08901,0.10202942043542862
Maryland,Wicomico,21875,0.10180412232875824
Massachusetts,Hampden,01108,0.10176092386245728
Maryland,Wicomico,21826,0.10160427540540695
Illinois,Cook,60425,0.10154654085636139
Ohio,Cuyahoga,44117,0.10145417600870132
Ohio,Cuyahoga,44134,0.10099315643310547
New Jersey,Atlantic,08346,0.10091742873191833
Florida,Miami-Dade,33150,0.10083714127540588
Massachusetts,Essex,01905,0.10052695870399475
Maryland,Harford,21040,0.10045594722032547
Florida,Miami-Dade,33016,0.10029752552509308
Massachusetts,Essex,01902,0.10025426745414734
New Jersey,Passaic,07514,0.10022988170385361
California,Contra Costa,94801,0.09961515665054321
Massachusetts,Worcester,01462,0.09946299344301224
Louisiana,Bossier,71067,0.09928514808416367
Iowa,Keokuk,52355,0.09917355328798294
California,Napa,94567,0.09890110045671463
Florida,Palm Beach,33409,0.09884943813085556
Connecticut,Windham,06260,0.09867963939905167
Florida,Miami-Dade,33054,0.09835588186979294
Illinois,Cook,60501,0.09825750440359116
New Jersey,Gloucester,08051,0.09801877290010452
New Jersey,Gloucester,08093,0.09763617813587189
New Jersey,Essex,07017,0.09762874990701675
Connecticut,New Haven,06516,0.0973760113120079
Illinois,Cook,60163,0.09715908765792847
California,Madera,93637,0.09715612232685089
New Jersey,Cumberland,08327,0.09712230414152145
New York,Putnam,10537,0.09706546366214752
California,Kern,93523,0.09698276221752167
New Jersey,Bergen,07631,0.09670297056436539
Illinois,Cook,60707,0.09654103964567184
Arizona,Yuma,85352,0.0962962955236435
New Jersey,Sussex,07843,0.09617755562067032
Maryland,Montgomery,20903,0.09615985304117203
Florida,Miami-Dade,33033,0.09604384005069733
Florida,Miami-Dade,33034,0.09586171060800552
Illinois,Cook,60471,0.0958343967795372
Florida,Collier,34116,0.09568535536527634
New Jersey,Atlantic,08234,0.09551643580198288
Florida,Miami-Dade,33125,0.09550946205854416
New Jersey,Cumberland,08361,0.0954592376947403
Maryland,Caroline,21640,0.095238097012043
Maryland,Baltimore City,21225,0.09498821943998337
Connecticut,Hartford,06053,0.09496581554412842
Connecticut,Windham,06374,0.0947781503200531
North Carolina,Currituck,27916,0.09462915360927582
Maryland,Dorchester,21643,0.09445208311080933
New Jersey,Gloucester,08014,0.09433962404727936
Texas,Bexar,78252,0.094199538230896
Florida,Miami-Dade,33179,0.09405102580785751
Louisiana,East Baton Rouge,70739,0.09398268908262253
New Jersey,Gloucester,08312,0.09393578767776489
Massachusetts,Hampden,01105,0.09383144974708557
Connecticut,New Haven,06706,0.09382924437522888
California,Monterey,93927,0.09379172325134277
Connecticut,Hartford,06052,0.09376344084739685
Illinois,Cook,60461,0.09371671825647354
California,Kern,93307,0.09361077845096588
Nebraska,Lancaster,68523,0.09356725215911865
Illinois,Macon,62514,0.09345794469118118
Illinois,Cook,60406,0.09335827827453613
Georgia,Fulton,30310,0.09335601329803467
Maryland,Queen Annes,21607,0.09333333373069763
Connecticut,Litchfield,06024,0.09302325546741486
New York,Queens,11692,0.0930124968290329
New York,Kings,11221,0.09278059750795364
New Jersey,Burlington,08010,0.09265679121017456
New Jersey,Camden,08045,0.09263157844543457
New Jersey,Cumberland,08332,0.09253519773483276
Montana,Cascade,59483,0.09243697673082352
California,Amador,95675,0.0923076942563057
Illinois,Cook,60620,0.09227734059095383
Ohio,Hamilton,45237,0.09222747385501862
Florida,Broward,33023,0.0920213982462883
Massachusetts,Essex,01843,0.0918671265244484
Florida,Miami-Dade,33035,0.09182029962539673
Florida,Sarasota,34291,0.09157753735780716
North Dakota,Williams,58843,0.09148264676332474
Florida,Miami-Dade,33142,0.09144672006368637
Maryland,Prince Georges,20784,0.09139407426118851
Nebraska,Lancaster,68358,0.09124767035245895
Connecticut,Windham,06354,0.09107249975204468
Illinois,Kane,60120,0.09058193117380142
Nevada,Clark,89106,0.09054777771234512
Connecticut,Fairfield,06854,0.09052213281393051
California,Kern,93241,0.09028776735067368
Connecticut,Windham,06230,0.0901639312505722
Connecticut,Fairfield,06901,0.09009546786546707
Iowa,Decatur,50108,0.09009008854627609
Massachusetts,Plymouth,02351,0.08997169137001038
Florida,Miami-Dade,33013,0.08997111022472382
Maryland,Prince Georges,20613,0.0898323580622673
North Dakota,Ward,58785,0.08978328108787537
Maryland,Wicomico,21814,0.08974359184503555
Nebraska,Douglas,68022,0.08968347311019897
Illinois,Cook,60456,0.0896010473370552
New York,Kings,11216,0.08938433229923248
Florida,Miami-Dade,33015,0.08936024457216263
Maryland,Charles,20601,0.08926080912351608
Illinois,Cook,60133,0.08915335685014725
California,Madera,93610,0.08901151269674301
Wisconsin,Sauk,53577,0.08884297311306
Florida,Palm Beach,33413,0.08882655203342438
North Dakota,Nelson,58344,0.08878504484891891
Connecticut,New Haven,06514,0.08863607794046402
New Jersey,Gloucester,08032,0.08843537420034409
Maryland,Wicomico,21804,0.08836080878973007
Connecticut,New London,06382,0.0882108211517334
Illinois,Kane,60110,0.08820772171020508
Illinois,DeKalb,60146,0.08816424757242203
New York,Nassau,11575,0.08814187347888947
Ohio,Cuyahoga,44132,0.08811519294977188
Illinois,Cook,60645,0.08806932717561722
Virginia,Portsmouth City,23702,0.08805227279663086
Iowa,Fremont,51649,0.08799999952316284
Maryland,Wicomico,21861,0.0878378376364708
New Jersey,Somerset,08880,0.08782608807086945
Nebraska,Lancaster,68527,0.087649405002594
Iowa,Fayette,50681,0.08749999850988388
Iowa,Dallas,50261,0.08743169158697128
New Jersey,Gloucester,08094,0.08728021383285522
Hawaii,Hawaii,96776,0.08724832534790039
Ohio,Cuyahoga,44123,0.08714491873979568
New York,Suffolk,11951,0.08713611215353012
New Jersey,Passaic,07503,0.0871121734380722
Massachusetts,Essex,01841,0.08681461960077286
Florida,Broward,33311,0.0867830142378807
Wisconsin,Manitowoc,54214,0.08666666597127914
Maryland,Wicomico,21849,0.08651399612426758
Louisiana,East Baton Rouge,70818,0.08638673275709152
Florida,Hillsborough,33605,0.08628031611442566
Rhode Island,Providence,02860,0.0862758532166481
Maryland,Charles,20603,0.08627571165561676
Virginia,Chesapeake City,23324,0.08605436980724335
Maryland,Caroline,21655,0.08591467142105103
Illinois,Boone,61065,0.08580262959003448
Ohio,Cuyahoga,44137,0.08579088747501373
Florida,Miami-Dade,33012,0.08576162904500961
Connecticut,Fairfield,06902,0.08567650616168976
Florida,Osceola,34758,0.08564964681863785
Florida,Hillsborough,33603,0.08561749011278152
Iowa,Poweshiek,50157,0.0855855867266655
New York,Kings,11203,0.08556204289197922
Connecticut,Windham,06377,0.08541499078273773
Maryland,Wicomico,21850,0.08539709448814392
Florida,Miami-Dade,33032,0.08537235856056213
Maryland,Prince Georges,20774,0.08531886339187622
Connecticut,New Haven,06401,0.08530183881521225
California,Kern,93304,0.08519269526004791
Illinois,Cook,60636,0.08505356311798096
New Jersey,Monmouth,07734,0.08499006181955338
Rhode Island,Providence,02905,0.08496060222387314
Florida,Duval,32244,0.08486712723970413
Louisiana,Tangipahoa,70446,0.08480894565582275
Illinois,Clinton,62218,0.08477842062711716
New York,Putnam,12563,0.08475317060947418
Connecticut,Hartford,06096,0.08469259738922119
Maryland,Prince Georges,20744,0.08458079397678375
Connecticut,Fairfield,06880,0.08452853560447693
Connecticut,Fairfield,06614,0.0844426304101944
California,Calaveras,95233,0.08438818901777267
New York,Schenectady,12008,0.08433734625577927
Connecticut,New Haven,06702,0.08387096971273422
Florida,Miami-Dade,33126,0.08357083052396774
Illinois,Cook,60621,0.08350983262062073
Illinois,Cook,60070,0.08337884396314621
Illinois,DeKalb,60556,0.0833333358168602
Virginia,Rappahannock,22623,0.0833333358168602
New Jersey,Burlington,08511,0.0833333358168602
Michigan,Wayne,48174,0.08313805609941483
New Jersey,Gloucester,08322,0.08293235301971436
California,Fresno,93660,0.08282208442687988
New Jersey,Burlington,08015,0.08281829208135605
Louisiana,Tangipahoa,70442,0.08280254900455475
Virginia,Portsmouth City,23701,0.08255010843276978
Florida,Marion,34472,0.08232279866933823
New Jersey,Mercer,08628,0.08202123641967773
Iowa,Decatur,50103,0.08196721225976944
Wisconsin,Lafayette,53803,0.08183305710554123
Iowa,Jones,52212,0.08181817829608917
California,Los Angeles,90301,0.08180791139602661
Delaware,New Castle,19802,0.08176251500844955
California,San Bernardino,92411,0.08160983771085739
Florida,Miami-Dade,33030,0.08159331977367401
Arizona,Pima,85714,0.0815047025680542
Illinois,Cook,60628,0.08148500323295593
Iowa,Clay,51343,0.08148147910833359
Louisiana,Saint Tammany,70420,0.08133970946073532
Maryland,Anne Arundel,20724,0.08132971078157425
Oklahoma,Oklahoma,73103,0.08123952895402908
Maryland,Montgomery,20876,0.08119292557239532
Connecticut,Windham,06242,0.0811554342508316
Iowa,Clayton,52156,0.0810810774564743
Florida,Miami-Dade,33189,0.08106990158557892
Arizona,Maricopa,85040,0.08094948530197144
Maryland,Charles,20695,0.08092770725488663
