state_name,county_name,zip_code,pct_homes_negative_equity
California,Contra Costa,94801,9.96
Massachusetts,Worcester,01462,9.95
Louisiana,Bossier,71067,9.93
Iowa,Keokuk,52355,9.92
California,Napa,94567,9.89
Florida,Palm Beach,33409,9.88
Connecticut,Windham,06260,9.87
Florida,Miami-Dade,33054,9.84
Illinois,Cook,60501,9.83
New Jersey,Gloucester,08051,9.8
New Jersey,Gloucester,08093,9.76
New Jersey,Essex,07017,9.76
Connecticut,New Haven,06516,9.74
Illinois,Cook,60163,9.72
California,Madera,93637,9.72
New Jersey,Cumberland,08327,9.71
New York,Putnam,10537,9.71
California,Kern,93523,9.7
New Jersey,Bergen,07631,9.67
Illinois,Cook,60707,9.65
Arizona,Yuma,85352,9.63
New Jersey,Sussex,07843,9.62
Maryland,Montgomery,20903,9.62
Florida,Miami-Dade,33033,9.6
Florida,Miami-Dade,33034,9.59
Illinois,Cook,60471,9.58
Florida,Collier,34116,9.57
New Jersey,Atlantic,08234,9.55
Florida,Miami-Dade,33125,9.55
New Jersey,Cumberland,08361,9.55
Maryland,Caroline,21640,9.52
Maryland,Baltimore City,21225,9.5
Connecticut,Hartford,06053,9.5
Connecticut,Windham,06374,9.48
North Carolina,Currituck,27916,9.46
Maryland,Dorchester,21643,9.45
New Jersey,Gloucester,08014,9.43
Texas,Bexar,78252,9.42
Florida,Miami-Dade,33179,9.41
Louisiana,East Baton Rouge,70739,9.4
New Jersey,Gloucester,08312,9.39
Massachusetts,Hampden,01105,9.38
Connecticut,New Haven,06706,9.38
California,Monterey,93927,9.38
Connecticut,Hartford,06052,9.38
Illinois,Cook,60461,9.37
California,Kern,93307,9.36
Nebraska,Lancaster,68523,9.36
Illinois,Macon,62514,9.35
Illinois,Cook,60406,9.34
Georgia,Fulton,30310,9.34
Maryland,Queen Annes,21607,9.33
Connecticut,Litchfield,06024,9.3
New York,Queens,11692,9.3
New York,Kings,11221,9.28
New Jersey,Burlington,08010,9.27
New Jersey,Camden,08045,9.26
New Jersey,Cumberland,08332,9.25
Montana,Cascade,59483,9.24
California,Amador,95675,9.23
Illinois,Cook,60620,9.23
Ohio,Hamilton,45237,9.22
Florida,Broward,33023,9.2
Massachusetts,Essex,01843,9.19
Florida,Miami-Dade,33035,9.18
Florida,Sarasota,34291,9.16
North Dakota,Williams,58843,9.15
Florida,Miami-Dade,33142,9.14
Maryland,Prince Georges,20784,9.14
Nebraska,Lancaster,68358,9.12
Connecticut,Windham,06354,9.11
Illinois,Kane,60120,9.06
Nevada,Clark,89106,9.05
Connecticut,Fairfield,06854,9.05
California,Kern,93241,9.03
Connecticut,Windham,06230,9.02
Connecticut,Fairfield,06901,9.01
Iowa,Decatur,50108,9.01
Massachusetts,Plymouth,02351,9
Florida,Miami-Dade,33013,9
Maryland,Prince Georges,20613,8.98
North Dakota,Ward,58785,8.98
Maryland,Wicomico,21814,8.97
Nebraska,Douglas,68022,8.97
Illinois,Cook,60456,8.96
New York,Kings,11216,8.94
Florida,Miami-Dade,33015,8.94
Maryland,Charles,20601,8.93
Illinois,Cook,60133,8.92
California,Madera,93610,8.9
Wisconsin,Sauk,53577,8.88
Florida,Palm Beach,33413,8.88
North Dakota,Nelson,58344,8.88
Connecticut,New Haven,06514,8.86
New Jersey,Gloucester,08032,8.84
Maryland,Wicomico,21804,8.84
Connecticut,New London,06382,8.82
Illinois,Kane,60110,8.82
Illinois,DeKalb,60146,8.82
New York,Nassau,11575,8.81
Ohio,Cuyahoga,44132,8.81
Illinois,Cook,60645,8.81
Virginia,Portsmouth City,23702,8.81
Iowa,Fremont,51649,8.8
Maryland,Wicomico,21861,8.78
New Jersey,Somerset,08880,8.78
Nebraska,Lancaster,68527,8.76
Iowa,Fayette,50681,8.75
Iowa,Dallas,50261,8.74
New Jersey,Gloucester,08094,8.73
Hawaii,Hawaii,96776,8.72
Ohio,Cuyahoga,44123,8.71
New York,Suffolk,11951,8.71
New Jersey,Passaic,07503,8.71
Massachusetts,Essex,01841,8.68
Florida,Broward,33311,8.68
Wisconsin,Manitowoc,54214,8.67
Maryland,Wicomico,21849,8.65
Louisiana,East Baton Rouge,70818,8.64
Florida,Hillsborough,33605,8.63
Rhode Island,Providence,02860,8.63
Maryland,Charles,20603,8.63
Virginia,Chesapeake City,23324,8.61
Maryland,Caroline,21655,8.59
Illinois,Boone,61065,8.58
Ohio,Cuyahoga,44137,8.58
Florida,Miami-Dade,33012,8.58
Connecticut,Fairfield,06902,8.57
Florida,Osceola,34758,8.56
Florida,Hillsborough,33603,8.56
Iowa,Poweshiek,50157,8.56
New York,Kings,11203,8.56
Connecticut,Windham,06377,8.54
Maryland,Wicomico,21850,8.54
Florida,Miami-Dade,33032,8.54
Maryland,Prince Georges,20774,8.53
Connecticut,New Haven,06401,8.53
California,Kern,93304,8.52
Illinois,Cook,60636,8.51
