Region,RegionName,StateName,CountyName,CityName,ForecastYoYPctChange
County,Bay County,FL,Bay County,,2.687586607179604
County,Bay County,MI,Bay County,,1.7796484858240147
County,Baylor County,TX,Baylor County,,0.4325295872604329
County,Beaufort County,SC,Beaufort County,,1.2216528989273723
County,Beauregard Parish,LA,Beauregard Parish,,5.245187010651664
County,Beaver County,PA,Beaver County,,0.6057241257988011
County,Becker County,MN,Becker County,,2.895497107708489
County,Beckham County,OK,Beckham County,,2.854001037055398
County,Bedford County,VA,Bedford County,,1.632919265156696
County,Bee County,TX,Bee County,,3.1530866947545366
County,Belknap County,NH,Belknap County,,2.1842514187659035
County,Bell County,TX,Bell County,,4.355261598004212
County,Beltrami County,MN,Beltrami County,,3.5307204633329814
County,Benton County,AR,Benton County,,4.317990554671125
County,Benton County,IA,Benton County,,1.5750227137886208
County,Benton County,IN,Benton County,,3.706123554222396
County,Benton County,MN,Benton County,,3.4231308101154045
County,Benton County,OR,Benton County,,2.3083938989856057
County,Benton County,TN,Benton County,,6.322870016862847
County,Benton County,WA,Benton County,,10.320493832405786
County,Benzie County,MI,Benzie County,,4.500836583674039
County,Bergen County,NJ,Bergen County,,0.7817995653331522
County,Berkeley County,SC,Berkeley County,,3.8943117044452302
County,Berks County,PA,Berks County,,-0.07462035897088937
County,Berkshire County,MA,Berkshire County,,1.6522717744262172
County,Bernalillo County,NM,Bernalillo County,,2.6136919386079427
County,Berrien County,GA,Berrien County,,3.136789131069384
County,Berrien County,MI,Berrien County,,2.4735165376478685
County,Bexar County,TX,Bexar County,,2.6064010531727577
County,Bibb County,GA,Bibb County,,3.139075152340287
County,Bienville Parish,LA,Bienville Parish,,4.6542562924654085
County,Big Horn County,MT,Big Horn County,,0.17249348034182876
County,Black Hawk County,IA,Black Hawk County,,0.9625512268153225
County,Blackford County,IN,Blackford County,,1.5033680514661585
County,Blaine County,ID,Blaine County,,4.114160476811568
County,Blanco County,TX,Blanco County,,1.376057399187114
County,Blount County,AL,Blount County,,3.7632580506334
County,Blount County,TN,Blount County,,3.931134332806163
County,Blue Earth County,MN,Blue Earth County,,1.9225689172096772
County,Boise County,ID,Boise County,,5.236457931333449
County,Bonner County,ID,Bonner County,,8.66870922233649
County,Boone County,AR,Boone County,,3.2678008726828356
County,Boone County,IA,Boone County,,2.8500176865143834
County,Boone County,IL,Boone County,,1.112954134571642
County,Boone County,IN,Boone County,,2.4045448668356784
County,Boone County,KY,Boone County,,3.142185624053684
County,Boone County,MO,Boone County,,0.8132734575947875
County,Bosque County,TX,Bosque County,,3.0869478005871365
County,Bossier Parish,LA,Bossier Parish,,0.5549562150212184
County,Botetourt County,VA,Botetourt County,,3.654545598289105
County,Boulder County,CO,Boulder County,,1.2062770616351415
County,Boundary County,ID,Boundary County,,3.7626338934677817
County,Bourbon County,KY,Bourbon County,,1.0965605469058781
County,Box Elder County,UT,Box Elder County,,7.945617730319232
County,Boyd County,KY,Boyd County,,-0.43011104488959173
County,Boyle County,KY,Boyle County,,2.0540592602623864
County,Bradford County,FL,Bradford County,,0.749987028596566
County,Bradford County,PA,Bradford County,,1.0980950670856915
County,Bradley County,TN,Bradley County,,3.4735535440182375
County,Branch County,MI,Branch County,,3.7408002748719804
County,Brazoria County,TX,Brazoria County,,2.626841352506437
County,Brazos County,TX,Brazos County,,2.143984146533806
County,Bremer County,IA,Bremer County,,2.7037595155400718
County,Brevard County,FL,Brevard County,,3.5568302476531866
County,Brewster County,TX,Brewster County,,0.4583027001765938
County,Bristol City,VA,Bristol City,,1.0342175767604544
County,Bristol County,MA,Bristol County,,2.9887288223679143
County,Bristol County,RI,Bristol County,,2.923669126117523
County,Bronx County,NY,Bronx County,,2.6795133894570444
County,Broome County,NY,Broome County,,-2.2634177886567852
County,Broomfield County,CO,Broomfield County,,1.9961791121783312
County,Broward County,FL,Broward County,,3.348944821388633
County,Brown County,IN,Brown County,,3.2004926550237345
County,Brown County,KS,Brown County,,1.8137936904727425
County,Brown County,OH,Brown County,,3.1052236403443123
County,Brown County,TX,Brown County,,4.009734912415297
County,Brown County,WI,Brown County,,3.2688865184584914
County,Brunswick County,NC,Brunswick County,,2.445038580545389
County,Bryan County,GA,Bryan County,,4.402966864993907
County,Bryan County,OK,Bryan County,,0.901978573247253
County,Buchanan County,IA,Buchanan County,,1.3968278251179633
County,Buchanan County,MO,Buchanan County,,4.659553854591514
County,Bucks County,PA,Bucks County,,1.0983477823188315
County,Buffalo County,NE,Buffalo County,,3.3249526004968777
County,Bulloch County,GA,Bulloch County,,5.519238890164302
County,Buncombe County,NC,Buncombe County,,1.4806783277511837
County,Bureau County,IL,Bureau County,,0.22240272344220546
County,Burke County,GA,Burke County,,1.05340620920098
County,Burleigh County,ND,Burleigh County,,0.612504865534369
County,Burleson County,TX,Burleson County,,-0.35526323787309355
County,Burlington County,NJ,Burlington County,,1.9488823733096572
County,Burnett County,WI,Burnett County,,2.2722534123374993
County,Butler County,KS,Butler County,,2.0323304370401196
County,Butler County,MO,Butler County,,4.3125125604084324
County,Butler County,OH,Butler County,,2.101496896546462
County,Butte County,CA,Butte County,,7.666896901358489
County,Cabarrus County,NC,Cabarrus County,,5.163975677638688
County,Cabell County,WV,Cabell County,,0.9074108651133006
County,Cache County,UT,Cache County,,4.733348330549925
County,Calaveras County,CA,Calaveras County,,2.590657985230882
County,Caldwell County,MO,Caldwell County,,4.555836039183969
County,Caldwell County,NC,Caldwell County,,5.1778165068738335
County,Caldwell County,TX,Caldwell County,,3.1374599355854738
County,Calhoun County,MI,Calhoun County,,2.4566447963698446
County,Calhoun County,TX,Calhoun County,,1.540116317679452
County,Callahan County,TX,Callahan County,,0.21477974284473955
County,Callaway County,MO,Callaway County,,2.3128068808007107
County,Calloway County,KY,Calloway County,,1.9940001236220528
County,Calumet County,WI,Calumet County,,1.9320702352609853
County,Calvert County,MD,Calvert County,,0.7599554304505762
County,Camden County,GA,Camden County,,4.715377865903547
County,Camden County,MO,Camden County,,2.2246464189026094
County,Camden County,NJ,Camden County,,0.7106933008160787
County,Cameron County,TX,Cameron County,,0.8847720357597844
County,Camp County,TX,Camp County,,1.2048395343162488
County,Campbell County,KY,Campbell County,,1.0717590011602773
County,Campbell County,TN,Campbell County,,2.5026730900675975
County,Campbell County,VA,Campbell County,,2.8723212344399673
County,Campbell County,WY,Campbell County,,2.966041094881078
County,Canadian County,OK,Canadian County,,1.588706665509232
County,Cannon County,TN,Cannon County,,1.6225414400489857
County,Canyon County,ID,Canyon County,,9.657771135260873
County,Cape Girardeau County,MO,Cape Girardeau County,,5.991326863598645
County,Cape May County,NJ,Cape May County,,0.06542988389430793
County,Carbon County,MT,Carbon County,,2.806776450063464
County,Carbon County,PA,Carbon County,,2.1010194948208216
County,Caribou County,ID,Caribou County,,5.6806432776970395
County,Carlton County,MN,Carlton County,,2.771791474700125
County,Caroline County,MD,Caroline County,,1.8472942199551312
County,Caroline County,VA,Caroline County,,3.7322564340906528
County,Carroll County,GA,Carroll County,,5.6586652765937995
County,Carroll County,IA,Carroll County,,3.109384562319706
County,Carroll County,IN,Carroll County,,2.8878709507821565
County,Carroll County,MD,Carroll County,,0.754215187480356
County,Carroll County,MO,Carroll County,,0.28864620823367826
County,Carroll County,MS,Carroll County,,0.33853365705864835
County,Carroll County,NH,Carroll County,,1.9668113796003972
County,Carroll County,OH,Carroll County,,0.061911506068534905
County,Carroll County,TN,Carroll County,,2.73477038418386
County,Carson City,NV,Carson City,,6.63031631148796
County,Carson County,TX,Carson County,,-0.7620988047443822
County,Carter County,OK,Carter County,,1.3759934807433538
County,Carter County,TN,Carter County,,3.3511961408382973
County,Carteret County,NC,Carteret County,,0.8737649487931209
County,Carver County,MN,Carver County,,2.56882950356101
County,Cascade County,MT,Cascade County,,0.7856673634194511
County,Cass County,MI,Cass County,,5.786656458906969
County,Cass County,MN,Cass County,,4.229799546616597
County,Cass County,MO,Cass County,,1.7797929414728797
County,Cass County,ND,Cass County,,1.427413485507989
County,Cass County,TX,Cass County,,1.387178026094893
County,Cassia County,ID,Cassia County,,3.4977008072905047
County,Caswell County,NC,Caswell County,,2.044535281475768
County,Catahoula Parish,LA,Catahoula Parish,,6.996920633855219
County,Catawba County,NC,Catawba County,,3.301848546579511
County,Catoosa County,GA,Catoosa County,,4.241590717271193
County,Cattaraugus County,NY,Cattaraugus County,,0.44837712029777155
County,Cecil County,MD,Cecil County,,1.6428761570166595
County,Cedar County,IA,Cedar County,,1.450674479049363
County,Cedar County,MO,Cedar County,,4.116734150859114
County,Cerro Gordo County,IA,Cerro Gordo County,,5.890396935992959
County,Chaffee County,CO,Chaffee County,,4.1918132753899995
County,Chambers County,TX,Chambers County,,8.097376603339335
County,Champaign County,IL,Champaign County,,0.8108019410576484
County,Charles County,MD,Charles County,,1.299912732736419
County,Charleston County,SC,Charleston County,,0.5318980401782136
County,Charlotte County,FL,Charlotte County,,2.939246922504446
County,Charlottesville City,VA,Charlottesville City,,2.8763863582115468
County,Chase County,KS,Chase County,,0.08244296258999029
County,Chatham County,GA,Chatham County,,2.1127133521356978
County,Chatham County,NC,Chatham County,,2.4738211188334303
County,Chautauqua County,NY,Chautauqua County,,1.9344689019747285
County,Cheatham County,TN,Cheatham County,,6.096232306223803
County,Cheboygan County,MI,Cheboygan County,,2.889363892262664
County,Chelan County,WA,Chelan County,,3.370711848826047
County,Chemung County,NY,Chemung County,,0.062397515191658925
County,Chenango County,NY,Chenango County,,1.8651176928946356
County,Cherokee County,AL,Cherokee County,,2.4940562640515695
County,Cherokee County,GA,Cherokee County,,4.172687245820184
County,Cherokee County,NC,Cherokee County,,3.4204162446439534
County,Cherokee County,OK,Cherokee County,,-0.17531511320806326
County,Cherokee County,SC,Cherokee County,,3.2603623280538008
County,Cherokee County,TX,Cherokee County,,1.536992837774398
County,Chesapeake City,VA,Chesapeake City,,1.7718167780428784
County,Cheshire County,NH,Cheshire County,,3.598645487471064
County,Chester County,PA,Chester County,,0.7423486740438356
County,Chester County,SC,Chester County,,3.331474060282824
County,Chester County,TN,Chester County,,4.2159635097650305
County,Chesterfield County,VA,Chesterfield County,,3.355651346343813
County,Chickasaw County,MS,Chickasaw County,,1.4956898987352973
County,Chilton County,AL,Chilton County,,1.349901663260189
County,Chippewa County,MI,Chippewa County,,0.9770995077482025
County,Chisago County,MN,Chisago County,,5.328449329062246
County,Chittenden County,VT,Chittenden County,,3.639829547999951
County,Chouteau County,MT,Chouteau County,,0.4392395334662069
County,Christian County,IL,Christian County,,-0.47036761248671066
County,Christian County,KY,Christian County,,1.955217162284617
County,Christian County,MO,Christian County,,2.7818219342396366
County,Citrus County,FL,Citrus County,,4.4223280604358095
County,Clackamas County,OR,Clackamas County,,0.2659114364523152
County,Claiborne Parish,LA,Claiborne Parish,,5.952827580496467
County,Clallam County,WA,Clallam County,,4.752920120987025
County,Clare County,MI,Clare County,,-3.1138317022927686
County,Clark County,KY,Clark County,,2.016495394297957
County,Clark County,MO,Clark County,,3.100550473161201
County,Clark County,NV,Clark County,,0.6441883224031164
County,Clark County,OH,Clark County,,2.6966797404208043
County,Clark County,WA,Clark County,,2.3984284894126073
County,Clarke County,GA,Clarke County,,3.4025121298427496
County,Clarke County,VA,Clarke County,,3.2677581835917957
County,Clatsop County,OR,Clatsop County,,6.474708107424032
County,Clay County,FL,Clay County,,3.4390682862159627
County,Clay County,MN,Clay County,,1.2500590336333106
County,Clay County,MO,Clay County,,2.6662413829853904
County,Clay County,MS,Clay County,,2.514937631647829
County,Clay County,NC,Clay County,,2.326777103050892
County,Clayton County,GA,Clayton County,,11.588491078017737
County,Clayton County,IA,Clayton County,,0.6015030611568273
County,Clear Creek County,CO,Clear Creek County,,3.878035805393343
County,Clearfield County,PA,Clearfield County,,2.936688771204077
County,Clearwater County,ID,Clearwater County,,5.025558729255297
County,Cleburne County,AR,Cleburne County,,2.597507054030501
County,Clermont County,OH,Clermont County,,4.312336530949645
County,Cleveland County,NC,Cleveland County,,5.93015832269459
County,Cleveland County,OK,Cleveland County,,2.5007915579578377
County,Clinton County,IA,Clinton County,,2.4453265119268375
County,Clinton County,IL,Clinton County,,1.4822164201252708
County,Clinton County,IN,Clinton County,,3.956924515862781
County,Clinton County,MI,Clinton County,,5.0022910680913135
County,Clinton County,NY,Clinton County,,2.1359397998807816
County,Clinton County,OH,Clinton County,,2.9360560348444142
County,Clinton County,PA,Clinton County,,1.6835469040665574
County,Cobb County,GA,Cobb County,,3.1183994534817128
County,Cochise County,AZ,Cochise County,,3.8789796305519486
County,Cocke County,TN,Cocke County,,2.7028362296427577
County,Coconino County,AZ,Coconino County,,2.1809152901878903
County,Coffee County,AL,Coffee County,,0.17999868907241368
County,Coffee County,GA,Coffee County,,2.3129437898681937
County,Coffee County,TN,Coffee County,,3.8789900303588087
County,Colbert County,AL,Colbert County,,1.719879976584271
County,Cole County,MO,Cole County,,2.2710135458533065
County,Coles County,IL,Coles County,,2.0940528289748794
County,Collier County,FL,Collier County,,0.7062199382639189
County,Collin County,TX,Collin County,,1.798411428402158
County,Colonial Heights City,VA,Colonial Heights City,,2.508963321872404
County,Colorado County,TX,Colorado County,,1.7595669459591567
County,Colquitt County,GA,Colquitt County,,3.3045285342932607
County,Columbia County,FL,Columbia County,,8.055519276252143
County,Columbia County,GA,Columbia County,,2.6980133742678936
County,Columbia County,NY,Columbia County,,3.452857078046767
County,Columbia County,OR,Columbia County,,2.4258934998953485
County,Columbia County,PA,Columbia County,,2.5036243129832547
County,Columbia County,WI,Columbia County,,1.2945835477445877
County,Columbiana County,OH,Columbiana County,,0.7574915564337426
County,Columbus County,NC,Columbus County,,1.8004711326859546
County,Colusa County,CA,Colusa County,,3.908386833819799
County,Comal County,TX,Comal County,,2.414876654679232
County,Comanche County,KS,Comanche County,,0.3685450275110691
County,Comanche County,TX,Comanche County,,-0.2381683831142012
County,Concordia Parish,LA,Concordia Parish,,2.658320627536259
County,Contra Costa County,CA,Contra Costa County,,-0.3254771284173841
County,Converse County,WY,Converse County,,2.016427861122283
County,Cook County,IL,Cook County,,0.33229318392582474
County,Cooke County,TX,Cooke County,,2.3046176796372775
County,Coos County,NH,Coos County,,3.3912789804089627
County,Coos County,OR,Coos County,,4.0268832576619396
County,Cortland County,NY,Cortland County,,1.4376924111261902
County,Coshocton County,OH,Coshocton County,,2.3365067240215476
County,Covington County,MS,Covington County,,1.6551356032019626
County,Coweta County,GA,Coweta County,,4.077707642894524
County,Cowley County,KS,Cowley County,,-1.5210486767931353
County,Craighead County,AR,Craighead County,,4.365737959810723
County,Craven County,NC,Craven County,,2.8083454325624535
County,Crawford County,AR,Crawford County,,2.926636586657505
County,Crawford County,IN,Crawford County,,1.5889809898003593
County,Crawford County,MI,Crawford County,,3.4360795867039107
County,Crawford County,MO,Crawford County,,2.554063999570788
County,Crawford County,PA,Crawford County,,1.5541934662441026
County,Creek County,OK,Creek County,,4.529975964819011
County,Crittenden County,AR,Crittenden County,,0.8418105827854738
County,Crockett County,TN,Crockett County,,1.228368900439758
County,Crook County,OR,Crook County,,2.662890282913799
County,Culpeper County,VA,Culpeper County,,1.1506748641900488
County,Cumberland County,ME,Cumberland County,,3.01333572390583
County,Cumberland County,NC,Cumberland County,,0.1490778378617552
County,Cumberland County,NJ,Cumberland County,,-0.42358531041020164
County,Cumberland County,PA,Cumberland County,,0.7451312884632522
County,Cumberland County,TN,Cumberland County,,4.274288811395888
County,Currituck County,NC,Currituck County,,2.821493500745098
County,Curry County,OR,Curry County,,3.983749783288437
County,Cuyahoga County,OH,Cuyahoga County,,2.625629129590279
County,Dade County,GA,Dade County,,2.638925528346836
County,Dakota County,MN,Dakota County,,3.5849771191581947
County,Dallas County,IA,Dallas County,,2.001156220477074
County,Dallas County,MO,Dallas County,,2.3011250194058253
County,Dallas County,TX,Dallas County,,3.9316049852978985
County,Dane County,WI,Dane County,,3.1037092085256957
County,Daniels County,MT,Daniels County,,0.6757471741606791
County,Dare County,NC,Dare County,,1.4983836861983235
County,Darlington County,SC,Darlington County,,2.763325009151285
County,Dauphin County,PA,Dauphin County,,1.0267218332717487
County,Davidson County,NC,Davidson County,,4.638017316815679
County,Davidson County,TN,Davidson County,,0.7305089440236001
County,Davie County,NC,Davie County,,4.363058828524524
County,Daviess County,KY,Daviess County,,2.7270414100055484
County,Daviess County,MO,Daviess County,,3.9392955802054486
County,Davis County,UT,Davis County,,4.886017633533357
County,Dawson County,GA,Dawson County,,4.222418931153649
County,Dawson County,MT,Dawson County,,1.6582655817874548
County,Dawson County,TX,Dawson County,,0.6065595984323213
County,De Kalb County,AL,De Kalb County,,4.062127135083204
County,De Soto County,FL,De Soto County,,5.569671410487254
County,DeKalb County,IL,DeKalb County,,1.9002189505462175
County,DeSoto County,MS,DeSoto County,,1.791313489305013
County,Dearborn County,IN,Dearborn County,,3.6742711004175366
County,Decatur County,GA,Decatur County,,1.7203079362541729
County,Decatur County,IN,Decatur County,,3.5074947422682357
County,Decatur County,KS,Decatur County,,0.5348040168108747
County,Decatur County,TN,Decatur County,,0.9260038324000464
County,Deer Lodge County,MT,Deer Lodge County,,1.3490560073339486
County,Defiance County,OH,Defiance County,,2.633126955986431
County,Dekalb County,GA,Dekalb County,,4.752789539576052
County,Dekalb County,TN,Dekalb County,,4.333934514546223
County,Delaware County,IA,Delaware County,,1.5353588036737476
County,Delaware County,IN,Delaware County,,3.4523169332047132
County,Delaware County,NY,Delaware County,,-0.1535271703857921
County,Delaware County,OK,Delaware County,,1.963264675217502
County,Delaware County,PA,Delaware County,,3.1012070040082884
County,Delta County,MI,Delta County,,2.2996991445414894
