"Date","RegionID","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-09-30,1851,"Laurens County","GA","Dublin",925,113100,0.00265957446808511,0.0198376916140667,0.183054393305439,0.0653862284522087,0.0295811662926253,"2019-09","2019-Q3",113100,0,"2019-09"
2019-09-30,2248,"Delaware County","NY",,926,138400,0.000723065798987708,0.00654545454545455,0.0087463556851312,0.0343423715253732,0.00927071865854368,"2019-01","2019-Q1",139700,-0.00930565497494631,"2018-12"
2019-09-30,1598,"Carroll County","NH",,927,262000,0.00267891312667432,0.0111925897336936,0.0526315789473684,0.0589007098596022,0.0278856936505674,"2019-03","2019-Q1",265200,-0.0120663650075415,"2019-02"
2019-09-30,3118,"Queen Annes County","MD","Baltimore-Columbia-Towson",928,342300,0.00410677618069815,0.013621557595499,0.0509671476819159,0.0273492239916355,0.013244115854157,"2007-03","2007-Q1",382000,-0.103926701570681,"2005-09"
2019-09-30,2396,"Macoupin County","IL","St. Louis",929,71500,0.00704225352112676,0.0317460317460317,0.0703592814371257,0.0384769634467554,0.0166778030007717,"2006-07","2006-Q3",74700,-0.0428380187416332,"2006-04"
2019-09-30,2293,"Franklin County","VT","Burlington-South Burlington",930,216900,0.00743149094287041,0.0240793201133144,0.0468146718146718,0.0309936135553874,0.0192199743615584,"2019-09","2019-Q3",216900,0,"2019-09"
2019-09-30,1942,"Navarro County","TX","Corsicana",931,97100,0.00206398348813209,0.00413650465356774,-0.0122075279755849,0.0532888393918252,0.0299309123600064,"2018-10","2018-Q4",98700,-0.0162107396149949,"2018-09"
2019-09-30,2818,"Oktibbeha County","MS","Starkville",932,196400,0.0160372478013451,0.0277341705913134,0.0850828729281768,0.0476745112970527,0.0256888906373607,"2019-09","2019-Q3",196400,0,"2019-09"
2019-09-30,922,"Carter County","OK","Ardmore",933,88200,0.00227272727272727,0.0137931034482759,0.0339976553341149,0.041423126681444,0.0214989052423962,"2019-09","2019-Q3",88200,0,"2019-09"
2019-09-30,654,"Noble County","IN","Kendallville",934,129000,0.00860046911649726,0.018957345971564,0.0287081339712919,0.0888108178431835,0.0518674384710081,"2019-01","2019-Q1",129700,-0.0053970701619121,"2018-12"
2019-09-30,662,"Osage County","OK","Tulsa",935,119200,0.0110262934690416,0.0539345711759505,0.112978524743231,0.0571039631273189,0.0287266527046435,"2019-09","2019-Q3",119200,0,"2019-09"
2019-09-30,3024,"Santa Cruz County","AZ","Nogales",936,153100,0.0039344262295082,0.0172757475083056,0.176787086856264,0.0779333040313741,0.0289398483132715,"2006-11","2006-Q4",167700,-0.0870602265951103,"2006-08"
2019-09-30,1401,"Stokes County","NC","Winston-Salem",937,159500,0.00630914826498423,0.0244059087989724,0.111498257839721,0.0599780851449807,0.0291215054366782,"2019-09","2019-Q3",159500,0,"2019-09"
2019-09-30,2772,"Lafayette County","MS","Oxford",938,206600,0.00829673011224988,0.0232788509162952,0.0202469135802469,0.0446050882518854,0.0214459404153011,"2018-03","2018-Q1",207300,-0.00337674867342016,"2018-03"
2019-09-30,710,"Scott County","KY","Lexington-Fayette",939,189700,-0.00105318588730911,-0.00315291644771414,0.0538888888888889,0.0493441301338053,0.0240321075346446,"2019-06","2019-Q2",190300,-0.00315291644771414,"2019-04"
2019-09-30,3058,"Washington Parish","LA","Bogalusa",940,78700,0.0038265306122449,0.0382585751978892,0.0885200553250346,0.0380357483852758,0.0215314966322495,"2006-01","2006-Q1",91700,-0.141766630316249,"2003-12"
2019-09-30,2408,"Marshall County","IN","Plymouth",941,142900,0.0077574047954866,0.0236389684813754,0.0577350111028867,0.0572093456435212,0.0311020466545491,"2019-09","2019-Q3",142900,0,"2019-09"
2019-09-30,1677,"Douglas County","NV","Gardnerville Ranchos",942,438800,0.00343013949233936,0.00757749712973594,0.0686799805163176,0.0850163092675855,0.0485629104532224,"2019-09","2019-Q3",438800,0,"2019-09"
2019-09-30,2192,"Cherokee County","OK","Tahlequah",943,95300,0.00421496311907271,-0.00832466181061394,0,0.0419484570391073,0.0181645767202543,"2019-02","2019-Q1",99200,-0.0393145161290323,"2018-09"
2019-09-30,181,"Hoke County","NC","Fayetteville",944,179300,0.00223588596981554,0.00786958965711074,0.1590174531351,0.0348160715381429,0.0211081196362963,"2019-09","2019-Q3",179300,0,"2019-09"
2019-09-30,1779,"Hopkins County","KY","Madisonville",945,92200,0.0087527352297593,0.02330743618202,0.0821596244131455,0.0377683712559604,0.0181787283795911,"2019-09","2019-Q3",92200,0,"2019-09"
2019-09-30,1869,"Lincoln Parish","LA","Ruston",946,170700,0.000586166471277843,0,0.0289330922242315,0.0340303013818701,0.0314026549870035,"2019-09","2019-Q3",170700,0,"2019-09"
2019-09-30,3157,"Chesterfield County","SC",,947,108500,0.0074280408542247,0.0343183984747378,0.0647693817468106,0.0463638475963448,0.0354284574672714,"2019-09","2019-Q3",108500,0,"2019-09"
2019-09-30,2240,"Culpeper County","VA","Washington-Arlington-Alexandria",948,255800,-0.00311769290724864,-0.00621600621600622,-0.00272904483430799,0.0350737673245431,0.0306185162770698,"2006-05","2006-Q2",301600,-0.151856763925729,"2005-04"
2019-09-30,2725,"Hillsdale County","MI","Hillsdale",949,131200,0.00229182582123759,0.0115651503469545,0.0915141430948419,0.0649118633368704,0.033465977942742,"2019-09","2019-Q3",131200,0,"2019-09"
2019-09-30,1931,"Mifflin County","PA","Lewistown",950,104300,0.0106589147286822,0.0336967294350842,0.0763673890608875,0.0412833946052087,0.00980918634608763,"2007-12","2007-Q4",120100,-0.131557035803497,"2006-02"
2019-09-30,76,"Kay County","OK","Ponca City",951,65300,0.00153374233128834,0.00153374233128834,0.0061633281972265,0.0387328927137727,0.0212821724856744,"2019-03","2019-Q1",66400,-0.016566265060241,"2018-10"
2019-09-30,1717,"Gadsden County","FL","Tallahassee",952,93800,-0.00424628450106157,0.00535905680600214,0.0217864923747277,0.0496995349786518,0.0102571732641421,"2007-02","2007-Q1",114900,-0.183637946040035,"2005-05"
2019-09-30,1471,"Warren County","IA","Des Moines-West Des Moines",953,196300,0.00357873210633947,0.0234619395203337,0.0548092423428264,0.050966860210705,0.0281605427002867,"2019-09","2019-Q3",196300,0,"2019-09"
2019-09-30,1727,"Goodhue County","MN","Red Wing",954,206000,0.00881488736532811,0.027431421446384,0.0922587486744433,0.0600484616206349,0.0270782979066426,"2019-09","2019-Q3",206000,0,"2019-09"
2019-09-30,193,"Iron County","UT","Cedar City",955,250500,0.00683279742765273,0.0346964064436183,0.191155492154066,0.0568438532981423,0.0283543169853022,"2019-09","2019-Q3",250500,0,"2019-09"
